mode,shingle_size,num_perm,threshold,precision@10,ROUGE-L,MAP@10
pst,2,10,0.2,0.125,0.3004003841154829,0.125
pst,2,10,0.3,0.085,0.190723123386501,0.085
pst,2,10,0.4,0.085,0.190723123386501,0.085
pst,2,10,0.5,0.044000000000000004,0.06622977543064944,0.044000000000000004
pst,2,20,0.2,0.141,0.3244556134502069,0.141
pst,2,20,0.3,0.114,0.2508793953815548,0.114
pst,2,20,0.4,0.087,0.20249289353824762,0.087
pst,2,20,0.5,0.057,0.08693357449895676,0.057
pst,2,50,0.2,0.139,0.3244317984372636,0.139
pst,2,50,0.3,0.07400000000000001,0.12979367707460235,0.07400000000000001
pst,2,50,0.4,0.07400000000000001,0.12906422523988736,0.07400000000000001
pst,2,50,0.5,0.034,0.04522316860224282,0.034
pst,2,100,0.2,0.138,0.3308276637659598,0.138
pst,2,100,0.3,0.08900000000000001,0.17767851346043118,0.08900000000000001
pst,2,100,0.4,0.048,0.06782776986541324,0.048
pst,2,100,0.5,0.026000000000000002,0.03551473766543534,0.026000000000000002
pst,2,150,0.2,0.146,0.3357338585015188,0.146
pst,2,150,0.3,0.096,0.19233743596111072,0.096
pst,2,150,0.4,0.057999999999999996,0.08784330041651542,0.057999999999999996
pst,2,150,0.5,0.032,0.04352356437648173,0.032
pst,3,10,0.2,0.16899999999999998,0.332878480316275,0.16899999999999998
pst,3,10,0.3,0.065,0.09401905113532763,0.065
pst,3,10,0.4,0.065,0.09401905113532763,0.065
pst,3,10,0.5,0.008,0.014951744716355434,0.008
pst,3,20,0.2,0.171,0.3445238091460831,0.171
pst,3,20,0.3,0.086,0.15430167540189987,0.086
pst,3,20,0.4,0.07,0.1073768027448819,0.07
pst,3,20,0.5,0.024,0.05512575805693776,0.024
pst,3,50,0.2,0.111,0.19722643939985227,0.111
pst,3,50,0.3,0.042,0.07538542034586834,0.042
pst,3,50,0.4,0.040999999999999995,0.07346234342279141,0.040999999999999995
pst,3,50,0.5,0.009000000000000001,0.016651276488930687,0.009000000000000001
pst,3,100,0.2,0.114,0.20793024843876157,0.114
pst,3,100,0.3,0.066,0.11660840339571646,0.066
pst,3,100,0.4,0.02,0.030420507258161457,0.02
pst,3,100,0.5,0.01,0.014049969100666774,0.01
pst,3,150,0.2,0.11199999999999999,0.20653978343456011,0.11199999999999999
pst,3,150,0.3,0.069,0.12019108737840044,0.069
pst,3,150,0.4,0.025,0.038141380587730436,0.025
pst,3,150,0.5,0.014000000000000002,0.018049969100666776,0.014000000000000002
pst,5,10,0.2,0.084,0.16879077307412016,0.084
pst,5,10,0.3,0.009000000000000001,0.02708740427164886,0.009000000000000001
pst,5,10,0.4,0.009000000000000001,0.02708740427164886,0.009000000000000001
pst,5,10,0.5,0.001,0.005475297974691301,0.001
pst,5,20,0.2,0.084,0.16879077307412016,0.084
pst,5,20,0.3,0.023000000000000003,0.0479368350341231,0.023000000000000003
pst,5,20,0.4,0.009000000000000001,0.02708740427164886,0.009000000000000001
pst,5,20,0.5,0.006000000000000001,0.011398374897768224,0.006000000000000001
pst,5,50,0.2,0.036000000000000004,0.07133002032774031,0.036000000000000004
pst,5,50,0.3,0.017,0.026198203957597282,0.017
pst,5,50,0.4,0.015,0.024198203957597288,0.015
pst,5,50,0.5,0.007000000000000001,0.010126892177589853,0.007000000000000001
pst,5,100,0.2,0.052000000000000005,0.08989251665494252,0.052000000000000005
pst,5,100,0.3,0.022000000000000002,0.034189621235971086,0.022000000000000002
pst,5,100,0.4,0.009000000000000001,0.013344283481937677,0.009000000000000001
pst,5,100,0.5,0.0030000000000000005,0.007315297974691302,0.0030000000000000005
pst,5,150,0.2,0.052000000000000005,0.08989251665494252,0.052000000000000005
pst,5,150,0.3,0.024,0.03618962123597108,0.024
pst,5,150,0.4,0.009000000000000001,0.013344283481937677,0.009000000000000001
pst,5,150,0.5,0.0030000000000000005,0.007315297974691302,0.0030000000000000005
pst,7,10,0.2,0.061000000000000006,0.11979431974314023,0.061000000000000006
pst,7,10,0.3,0.008,0.013229123279820955,0.008
pst,7,10,0.4,0.008,0.013229123279820955,0.008
pst,7,10,0.5,0.0,0.001386892177589852,0.0
pst,7,20,0.2,0.062,0.12096855392579753,0.062
pst,7,20,0.3,0.013000000000000001,0.02942466397101382,0.013000000000000001
pst,7,20,0.4,0.008,0.016968128718826393,0.008
pst,7,20,0.5,0.001,0.004126892177589852,0.001
pst,7,50,0.2,0.031,0.05625316649960709,0.031
pst,7,50,0.3,0.005,0.009344283481937679,0.005
pst,7,50,0.4,0.005,0.009344283481937679,0.005
pst,7,50,0.5,0.001,0.005315297974691301,0.001
pst,7,100,0.2,0.054000000000000006,0.08017624342268402,0.054000000000000006
pst,7,100,0.3,0.014000000000000002,0.020069274644892787,0.014000000000000002
pst,7,100,0.4,0.0030000000000000005,0.007315297974691302,0.0030000000000000005
pst,7,100,0.5,0.001,0.005315297974691301,0.001
pst,7,150,0.2,0.054000000000000006,0.08017624342268402,0.054000000000000006
pst,7,150,0.3,0.014000000000000002,0.020069274644892787,0.014000000000000002
pst,7,150,0.4,0.0030000000000000005,0.009701520447870296,0.0030000000000000005
pst,7,150,0.5,0.001,0.006532689279039128,0.001
pst,10,10,0.2,0.027000000000000003,0.048546288385966516,0.027000000000000003
pst,10,10,0.3,0.004,0.00761188334054496,0.004
pst,10,10,0.4,0.004,0.00761188334054496,0.004
pst,10,10,0.5,0.001,0.002886892177589852,0.001
pst,10,20,0.2,0.027000000000000003,0.048546288385966516,0.027000000000000003
pst,10,20,0.3,0.006000000000000001,0.011938241798681044,0.006000000000000001
pst,10,20,0.4,0.004,0.00761188334054496,0.004
pst,10,20,0.5,0.001,0.002886892177589852,0.001
pst,10,50,0.2,0.016,0.02817579747025206,0.016
pst,10,50,0.3,0.001,0.004104283481937678,0.001
pst,10,50,0.4,0.001,0.004104283481937678,0.001
pst,10,50,0.5,0.001,0.004075297974691302,0.001
pst,10,100,0.2,0.016,0.02941579747025206,0.016
pst,10,100,0.3,0.005,0.010089738027392223,0.005
pst,10,100,0.4,0.001,0.004075297974691302,0.001
pst,10,100,0.5,0.0,0.001386892177589852,0.0
pst,10,150,0.2,0.016,0.02941579747025206,0.016
pst,10,150,0.3,0.005,0.010089738027392223,0.005
pst,10,150,0.4,0.001,0.004075297974691302,0.001
pst,10,150,0.5,0.0,0.001386892177589852,0.0
psd,2,10,0.2,0.06875,0.12873464468115284,0.06875
psd,2,10,0.3,0.043750000000000004,0.06170066408325476,0.043750000000000004
psd,2,10,0.4,0.043750000000000004,0.06170066408325476,0.043750000000000004
psd,2,10,0.5,0.017708333333333336,0.024844504592584405,0.017708333333333336
psd,2,20,0.2,0.06875,0.12887353357004172,0.06875
psd,2,20,0.3,0.046875,0.07419178268087603,0.046875
psd,2,20,0.4,0.043750000000000004,0.06170066408325476,0.043750000000000004
psd,2,20,0.5,0.017708333333333336,0.027739739839793335,0.017708333333333336
psd,2,50,0.2,0.049999999999999996,0.0848552289115777,0.049999999999999996
psd,2,50,0.3,0.024999999999999998,0.04090316583609977,0.024999999999999998
psd,2,50,0.4,0.024999999999999998,0.04090316583609977,0.024999999999999998
psd,2,50,0.5,0.007291666666666668,0.012204799217666866,0.007291666666666668
psd,2,100,0.2,0.049999999999999996,0.0848552289115777,0.049999999999999996
psd,2,100,0.3,0.041666666666666664,0.061352290232235034,0.041666666666666664
psd,2,100,0.4,0.014583333333333335,0.019843688106555752,0.014583333333333335
psd,2,100,0.5,0.010416666666666666,0.013695650414400415,0.010416666666666666
psd,2,150,0.2,0.049999999999999996,0.0848552289115777,0.049999999999999996
psd,2,150,0.3,0.04270833333333334,0.06256756801001281,0.04270833333333334
psd,2,150,0.4,0.015625,0.02244785477322242,0.015625
psd,2,150,0.5,0.010416666666666666,0.013695650414400415,0.010416666666666666
psd,3,10,0.2,0.040625,0.07675626524660632,0.040625
psd,3,10,0.3,0.019791666666666666,0.030285164808988834,0.019791666666666666
psd,3,10,0.4,0.019791666666666666,0.030285164808988834,0.019791666666666666
psd,3,10,0.5,0.0031250000000000006,0.004024621212121212,0.0031250000000000006
psd,3,20,0.2,0.040625,0.07675626524660632,0.040625
psd,3,20,0.3,0.030208333333333334,0.05298369358231738,0.030208333333333334
psd,3,20,0.4,0.021875000000000002,0.04194051725381496,0.021875000000000002
psd,3,20,0.5,0.004166666666666667,0.006698232323232324,0.004166666666666667
psd,3,50,0.2,0.043750000000000004,0.07284623408444599,0.043750000000000004
